ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
763	"ENSG00000135926.8"	"TMBIM1"	chr2	-	219142657	219142697	219143237	219143288	219142355	219142393	219143760	219143814	763	866,774	125,176	551,736	60,64	150	139	2.62509643605e-05	0.00242850588073	0.865,0.803	0.895,0.914	-0.071
3607	"ENSG00000062716.6"	"VMP1"	chr17	+	57812698	57812834	57814813	57814904	57808781	57808883	57816197	57816308	3607	168,129	153,201	78,69	183,250	199	190	2.68660149522e-05	0.00243137435317	0.512,0.38	0.289,0.209	0.197
1727	"ENSG00000163631.12"	"ALB"	chr4	+	74275071	74275140	74275140	74275204	74274354	74274522	74276028	74276126	1727	419356,344710	39093,19607	269718,440183	24130,11220	168	163	2.94287011641e-05	0.00260663155205	0.912,0.945	0.916,0.974	-0.017
434	"ENSG00000183044.7"	"ABAT"	chr16	+	8829555	8829666	8839857	8839955	8768421	8768568	8841964	8841994	434	41,23	201,184	8,3	96,175	199	197	3.15706691016e-05	0.00273809782229	0.168,0.11	0.076,0.017	0.093
1668	"ENSG00000155111.10"	"CDK19"	chr6	-	110944492	110944565	110947978	110948048	110944017	110944115	110948204	110948348	1668	46,83	153,203	21,55	172,288	169	172	3.46656763912e-05	0.00294516756769	0.234,0.294	0.111,0.163	0.127
833	"ENSG00000135486.13"	"HNRNPA1"	chr12	+	54675169	54675286	54675578	54675725	54673976	54674606	54675873	54676084	833	1332,1210	7488,4963	1098,691	6787,6251	199	199	3.56064574502e-05	0.0029645936473	0.151,0.196	0.139,0.1	0.054
2450	"ENSG00000088766.7"	"CRLS1"	chr20	+	5996006	5996136	6011930	6012016	5990424	5990558	6012657	6012726	2450	79,72	59,38	73,91	14,23	199	185	3.70720212279e-05	0.00302609459552	0.555,0.638	0.829,0.786	-0.211
2606	"ENSG00000176142.8"	"TMEM39A"	chr3	-	119171293	119171377	119176864	119177087	119165864	119166019	119180808	119180995	2606	20,28	24,29	10,2	43,22	199	183	4.3136290281e-05	0.00345339185461	0.434,0.47	0.176,0.077	0.325
2247	"ENSG00000109686.12"	"SH3D19"	chr4	-	152069073	152069338	152070651	152070713	152065371	152065440	152080391	152080504	2247	155,209	55,69	116,140	13,21	161	199	4.44706122873e-05	0.00349304073494	0.777,0.789	0.917,0.892	-0.122
1521	"ENSG00000047849.17"	"MAP4"	chr3	-	47908735	47908828	47910703	47910817	47898920	47899002	47912302	47912595	1521	597,693	32,51	330,659	11,11	199	192	5.4235643912e-05	0.00403183902867	0.947,0.929	0.967,0.983	-0.037
1960	"ENSG00000163586.5"	"FABP1"	chr2	-	88424012	88424105	88425694	88425867	88422509	88422623	88427469	88427635	1960	22699,15577	2999,2180	10666,6136	1890,2304	199	192	5.31263841127e-05	0.00403183902867	0.88,0.873	0.845,0.72	0.094
2737	"ENSG00000099783.7"	"HNRNPM"	chr19	+	8536209	8536311	8538547	8538592	8533657	8533718	8539050	8539128	2737	192,238	768,548	107,64	530,437	199	144	5.40577643956e-05	0.00403183902867	0.153,0.239	0.127,0.096	0.085
3634	"ENSG00000142192.16"	"APP"	chr21	-	27369674	27369731	27372329	27372497	27354656	27354790	27394155	27394358	3634	1351,1621	136,102	743,748	111,100	199	156	6.21093762143e-05	0.00453616374	0.886,0.926	0.84,0.854	0.059
2288	"ENSG00000134901.8"	"KDELC1"	chr13	-	103440183	103440273	103441361	103441571	103438581	103438689	103443250	103443488	2288	38,57	60,80	31,23	86,130	199	189	7.85939204166e-05	0.0053637129622	0.376,0.404	0.255,0.144	0.191
2994	"ENSG00000107537.9"	"PHYH"	chr10	-	13330359	13330541	13333830	13333912	13325689	13325839	13336427	13336596	2994	337,281	68,94	266,249	31,31	181	199	7.66208952225e-05	0.0053637129622	0.845,0.767	0.904,0.898	-0.095
3670	"ENSG00000198586.9"	"TLK1"	chr2	-	171939290	171939362	171974248	171974367	171917590	171917666	172016799	172017074	3670	119,131	425,493	72,66	343,629	199	171	7.62508348211e-05	0.0053637129622	0.194,0.186	0.153,0.083	0.072
5207	"ENSG00000140181.10"	"HERC2P2"	chr15	-	23285704	23285752	23293372	23293512	23282280	23283153	23295540	23295666	5207	9,8	460,315	16,32	309,360	199	147	7.82651267468e-05	0.0053637129622	0.014,0.018	0.037,0.062	-0.034
489	"ENSG00000071054.11"	"MAP4K4"	chr2	+	102472446	102472600	102475457	102475544	102460562	102460773	102476104	102476326	489	73,44	242,296	26,18	232,269	199	186	8.29851212666e-05	0.00557204935214	0.22,0.122	0.095,0.059	0.094
1832	"ENSG00000148300.7"	"REXO4"	chr9	-	136276104	136276193	136277418	136277612	136273891	136273966	136277897	136278041	1832	70,43	324,194	41,35	300,434	199	188	9.29194846079e-05	0.00614006054639	0.17,0.173	0.114,0.071	0.079
1739	"ENSG00000204634.8"	"TBC1D8"	chr2	-	101645952	101646238	101648729	101648847	101644764	101644894	101650005	101650220	1739	26,12	132,96	28,23	55,14	199	199	0.000106597795225	0.00693385346128	0.165,0.111	0.337,0.622	-0.342
1597	"ENSG00000138674.12"	"SEC31A"	chr4	-	83752089	83752128	83763292	83763494	83750152	83750211	83765538	83765662	1597	39,94	21,25	24,27	45,27	199	138	0.000140901940292	0.00902422734516	0.563,0.723	0.27,0.409	0.303
208	"ENSG00000197102.6"	"DYNC1H1"	chr14	+	102502825	102502979	102504796	102504943	102500661	102500789	102505034	102505185	208	587,675	50,46	478,680	27,11	199	199	0.000151596215992	0.00956204616931	0.922,0.936	0.947,0.984	-0.036
270	"ENSG00000147459.13"	"DOCK5"	chr8	+	25261073	25261240	25265498	25265634	25258444	25258582	25266317	25266456	270	33,42	0,4	27,22	10,11	199	199	0.000157580724616	0.00979117248622	1.0,0.913	0.73,0.667	0.258
887	"ENSG00000124795.10"	"DEK"	chr6	-	18258534	18258636	18264073	18264227	18258183	18258293	18264615	18264772	887	164,94	602,621	101,36	533,843	199	199	0.00017072261223	0.0104517387458	0.214,0.131	0.159,0.041	0.072
5332	"ENSG00000117543.15"	"DPH5"	chr1	-	101467022	101467143	101479265	101479374	101460665	101460705	101487196	101487321	5332	22,23	112,61	5,10	91,112	199	199	0.000194063887739	0.0117085212269	0.164,0.274	0.052,0.082	0.152
911	"ENSG00000243649.4"	"CFB"	chr6	+	31901942	31902076	31903664	31903838	31901643	31901742	31905095	31905236	911	360,213	1328,1200	232,68	1071,1288	199	199	0.000200162726457	0.0119039632891	0.213,0.151	0.178,0.05	0.068
913	"ENSG00000243649.4"	"CFB"	chr6	+	31901942	31902076	31903699	31903838	31901643	31901742	31905095	31905236	913	360,213	1330,1201	232,68	1071,1288	199	199	0.000205456442837	0.0120466925568	0.213,0.151	0.178,0.05	0.068
5005	"ENSG00000085382.7"	"HACE1"	chr6	-	105259185	105259268	105280916	105281048	105244803	105244900	105291097	105291173	5005	13,20	4,8	8,15	16,26	199	182	0.000224248309254	0.0129659126587	0.748,0.696	0.314,0.345	0.392
1287	"ENSG00000079805.12"	"DNM2"	chr19	+	10906736	10906875	10908055	10908194	10906047	10906115	10909161	10909248	1287	420,176	324,189	295,119	145,60	199	199	0.000228887719469	0.0130528709062	0.565,0.482	0.67,0.665	-0.144
1041	"ENSG00000269699.1"	"ZIM2"	chr19	-	57337755	57337798	57345010	57345131	57335629	57335795	57347385	57347472	1041	45,44	94,103	64,33	59,37	199	142	0.000242626571705	0.0136493840271	0.255,0.234	0.436,0.389	-0.168
664	"ENSG00000164062.8"	"APEH"	chr3	+	49713545	49713652	49713810	49713948	49713323	49713399	49714041	49714133	664	1,2	101,29	12,3	60,10	199	199	0.000248844660081	0.0138125375989	0.01,0.065	0.167,0.231	-0.162
205	"ENSG00000273345.1"	"CTD-2410N18.4"	chr5	-	133644264	133644418	133655048	133655188	133643828	133644157	133657481	133657594	205	12,12	17,16	1,4	15,33	199	199	0.00027767517482	0.0152100230628	0.414,0.429	0.063,0.108	0.336
1021	"ENSG00000204842.10"	"ATXN2"	chr12	-	111902465	111902519	111907911	111908044	111895017	111895163	111908361	111908546	1021	92,173	30,73	131,162	10,36	199	153	0.000295754977006	0.015989973627	0.702,0.646	0.91,0.776	-0.169
497	"ENSG00000171055.10"	"FEZ2"	chr2	-	36810495	36810612	36818045	36818154	36808432	36808574	36825019	36825309	497	33,19	378,231	6,6	233,238	199	199	0.00030097056731	0.0160633393809	0.08,0.076	0.025,0.025	0.053
1494	"ENSG00000077616.6"	"NAALAD2"	chr11	+	89891312	89891406	89892406	89892505	89885465	89885652	89896116	89896202	1494	31,28	4,0	10,3	6,7	193	198	0.000321846616244	0.0163396032125	0.888,1.0	0.631,0.305	0.476
2693	"ENSG00000130703.11"	"OSBPL2"	chr20	+	60831112	60831277	60835036	60835181	60813579	60813653	60838671	60838747	2693	145,211	92,131	67,142	91,145	199	199	0.000320020730275	0.0163396032125	0.612,0.617	0.424,0.495	0.155
3682	"ENSG00000085999.7"	"RAD54L"	chr1	+	46739026	46739137	46739295	46739419	46738343	46738474	46739809	46739888	3682	30,19	47,24	5,4	38,19	199	199	0.000318372150636	0.0163396032125	0.39,0.442	0.116,0.174	0.271
4325	"ENSG00000029725.12"	"RABEP1"	chr17	+	5283658	5283757	5284683	5284800	5281471	5281527	5286416	5286912	4325	17,14	38,42	1,3	32,38	198	199	0.000316123982	0.0163396032125	0.31,0.251	0.03,0.074	0.228
4009	"ENSG00000204305.9"	"AGER"	chr6	-	32149127	32149254	32149300	32149409	32148898	32149016	32150023	32150165	4009	6,3	53,18	16,2	13,4	199	199	0.000339368863029	0.0169175924901	0.102,0.143	0.552,0.333	-0.32
4027	"ENSG00000095321.12"	"CRAT"	chr9	-	131865291	131865345	131866466	131866585	131864720	131864844	131870092	131870356	4027	67,34	203,182	30,11	145,250	199	153	0.000341359060574	0.0169175924901	0.202,0.126	0.137,0.033	0.079
353	"ENSG00000185813.6"	"PCYT2"	chr17	-	79863257	79863323	79863545	79863611	79862941	79863030	79863975	79864053	353	105,77	362,241	50,48	310,287	165	165	0.000352390840045	0.017258859613	0.225,0.242	0.139,0.143	0.092
1038	"ENSG00000269699.1"	"ZIM2"	chr19	-	57337755	57337831	57345010	57345131	57335629	57335795	57347385	57347472	1038	45,44	362,250	64,33	213,122	199	175	0.000391370279503	0.018111641241	0.099,0.134	0.209,0.192	-0.084
1241	"ENSG00000051825.10"	"MPHOSPH9"	chr12	-	123678932	123679148	123682793	123682881	123665709	123665757	123686710	123686866	1241	68,32	39,21	39,28	49,57	187	199	0.000382873287244	0.018111641241	0.65,0.619	0.459,0.343	0.234
1944	"ENSG00000090863.7"	"GLG1"	chr16	-	74526854	74527038	74528657	74528729	74524898	74525113	74530338	74530542	1944	228,190	1423,770	180,202	670,456	171	199	0.000381650145343	0.018111641241	0.157,0.223	0.238,0.34	-0.099
2973	"ENSG00000169062.10"	"UPF3A"	chr13	+	115051993	115052104	115056963	115057019	115047495	115047602	115057108	115057267	2973	29,22	433,241	48,31	253,229	199	155	0.000391556020104	0.018111641241	0.05,0.066	0.129,0.095	-0.054
5189	"ENSG00000147684.3"	"NDUFB9"	chr8	+	125555360	125555520	125559240	125559354	125551384	125551528	125562001	125562219	5189	14,10	653,299	26,13	333,227	199	199	0.000375628307115	0.018111641241	0.021,0.032	0.072,0.054	-0.036
1190	"ENSG00000005471.11"	"ABCB4"	chr7	-	87042932	87043033	87046627	87046831	87041208	87041349	87047852	87047936	1190	18,20	5,14	5,6	22,13	199	199	0.000407811924827	0.0184534895984	0.783,0.588	0.185,0.316	0.435
2244	"ENSG00000002549.8"	"LAP3"	chr4	+	17598668	17598757	17600078	17600181	17597032	17597157	17606210	17606290	2244	107,160	161,198	101,93	80,64	188	199	0.00040696821367	0.0184534895984	0.413,0.461	0.572,0.606	-0.152
4577	"ENSG00000161558.6"	"TMEM143"	chr19	-	48848416	48848611	48863328	48863433	48846577	48846708	48866547	48866788	4577	6,7	14,11	20,7	1,3	199	199	0.000433050812875	0.0192247110176	0.3,0.389	0.952,0.7	-0.481
909	"ENSG00000139350.7"	"NEDD1"	chr12	+	97313762	97313903	97328753	97328983	97301381	97301634	97330388	97330590	909	0,0	150,242	4,10	101,240	199	199	0.000434091481061	0.0192247110176	0.0,0.0	0.038,0.04	-0.039
5181	"ENSG00000125730.12"	"C3"	chr19	-	6719221	6719298	6719362	6719414	6718257	6718423	6720526	6720693	5181	3646,7124	2421,5546	1826,2312	1674,2827	151	176	0.000448612911446	0.0196586900037	0.637,0.6	0.56,0.488	0.095
562	"ENSG00000143727.11"	"ACP1"	chr2	+	272036	272150	275139	275201	271865	271939	276979	277085	562	741,520	906,685	348,343	569,786	199	161	0.00047887413549	0.0207661773546	0.398,0.38	0.331,0.261	0.093
2159	"ENSG00000182985.12"	"CADM1"	chr11	-	115069125	115069158	115080293	115080377	115049363	115049495	115085327	115085500	2159	685,934	20,24	415,1057	11,1	183	132	0.000506772498531	0.021586870519	0.961,0.966	0.965,0.999	-0.018
4114	"ENSG00000122483.13"	"CCDC18"	chr1	+	93683294	93683426	93685854	93686027	93682192	93682303	93687165	93687300	4114	80,60	9,10	62,130	3,1	199	199	0.000508170384546	0.021586870519	0.899,0.857	0.954,0.992	-0.095
5190	"ENSG00000100897.13"	"DCAF11"	chr14	+	24586876	24586941	24587263	24587364	24586474	24586602	24587596	24587743	5190	349,646	179,305	282,630	78,205	164	199	0.000518789419852	0.0217548245405	0.703,0.72	0.814,0.789	-0.09
612	"ENSG00000114120.7"	"SLC25A36"	chr3	+	140685189	140685276	140685775	140685878	140681968	140682069	140689768	140689835	612	10,15	33,34	28,23	26,17	186	199	0.000522575655548	0.0217548245405	0.245,0.321	0.535,0.591	-0.28
427	"ENSG00000130414.7"	"NDUFA10"	chr2	-	240951033	240954277	240957969	240958056	240946732	240946787	240960613	240960829	427	498,584	123,133	584,645	85,90	186	199	0.000528512341906	0.0217841275184	0.812,0.824	0.88,0.885	-0.065
939	"ENSG00000198369.5"	"SPRED2"	chr2	-	65559120	65559185	65561738	65561907	65543867	65544017	65571852	65572030	939	91,89	227,350	97,84	86,160	199	164	0.000559385403508	0.022830602302	0.248,0.173	0.482,0.302	-0.182
1178	"ENSG00000147257.9"	"GPC3"	chrX	-	132833922	132834056	133026308	133026423	132795757	132795878	133087076	133087238	1178	7,6	3,0	0,0	13,5	199	199	0.000573835676596	0.022969980016	0.7,1.0	0.0,0.0	0.85
4253	"ENSG00000140848.12"	"CPNE2"	chr16	+	57168686	57168738	57171060	57171194	57161760	57161815	57179996	57180233	4253	50,49	3,1	23,33	11,6	151	199	0.000570618857112	0.022969980016	0.956,0.985	0.734,0.879	0.164
1342	"ENSG00000056736.5"	"IL17RB"	chr3	+	53886025	53886153	53886897	53887024	53883681	53883822	53890870	53891013	1342	404,223	47,36	257,105	55,43	199	199	0.000601465844275	0.023846688664	0.896,0.861	0.824,0.709	0.112
2369	"ENSG00000160305.13"	"DIP2A"	chr21	+	47918494	47918746	47924270	47924402	47916900	47917020	47929169	47929289	2369	26,38	3,9	19,4	16,5	199	199	0.000635006612305	0.024938986104	0.897,0.809	0.543,0.444	0.359
3880	"ENSG00000115414.14"	"FN1"	chr2	-	216232585	216232750	216235016	216235155	216230227	216230353	216236631	216236738	3880	1964,3249	55910,21631	1163,646	24846,14109	199	199	0.000676531407786	0.0261351508968	0.034,0.131	0.045,0.044	0.038
4373	"ENSG00000140391.10"	"TSPAN3"	chr15	-	77348130	77348205	77348405	77348597	77346519	77346621	77363233	77363451	4373	21,29	622,357	7,5	428,297	199	174	0.000678019768642	0.0261351508968	0.029,0.066	0.014,0.015	0.033
2690	"ENSG00000112699.6"	"GMDS"	chr6	-	1726649	1726746	1930336	1930464	1624706	1624775	1960100	1960205	2690	549,692	7660,4029	345,583	2746,2347	199	196	0.000713886812489	0.0272652367008	0.066,0.145	0.11,0.197	-0.048
3298	"ENSG00000023228.9"	"NDUFS1"	chr2	-	206991433	206991568	206992520	206992696	206991262	206991335	206994811	206994966	3298	126,124	171,113	67,70	123,170	199	199	0.000728894407925	0.0275853401836	0.424,0.523	0.353,0.292	0.151
