ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
30997	ENSG00000100867.10	DHRS2	chr14	+	24108049	24108213	24105575	24105981	24108387	24108565	30997	3502,1254	35,33	1796,446	32,40	199	100	3.79350583537e-05	0.00922327718773	0.98,0.95	0.966,0.849	0.057
10775	ENSG00000198252.7	STYX	chr14	+	53223268	53223329	53217400	53217498	53224036	53224073	10775	56,104	1,6	33,74	4,20	160	100	0.000905413178971	0.0866424978815	0.972,0.915	0.838,0.698	0.175
8450	ENSG00000126790.7	L3HYPDH	chr14	-	59941156	59941244	59939688	59939808	59942586	59942724	8450	21,22	78,45	5,10	108,74	187	100	1.40878885095e-05	0.00432155854717	0.126,0.207	0.024,0.067	0.121
52821	ENSG00000126214.16	KLC1	chr14	+	104151322	104151373	104145720	104145882	104151974	104152537	52821	76,27	0,0	34,5	7,1	150	100	0.000314209087191	0.0415858260842	1.0,1.0	0.764,0.769	0.234
37482	ENSG00000224078.8	SNHG14	chr15	+	25345925	25346037	25344291	25344425	25349005	25349117	37482	29,50	50,44	19,6	87,45	199	100	2.76844006908e-06	0.00112183343688	0.226,0.363	0.099,0.063	0.213
28503	ENSG00000166797.6	FAM96A	chr15	-	64373300	64373350	64367690	64367736	64380885	64381050	28503	99,41	6,0	63,36	18,18	149	100	2.30775647958e-06	0.000996677512227	0.917,1.0	0.701,0.573	0.322
1326	ENSG00000156222.7	SLC28A1	chr15	+	85429902	85430018	85427892	85427982	85430975	85431087	1326	36,31	7,17	7,4	14,20	199	100	3.53036448609e-05	0.00871256793436	0.721,0.478	0.201,0.091	0.453
21638	ENSG00000130731.11	C16orf13	chr16	-	684888	685063	684718	684797	685280	685340	21638	121,73	25,19	63,36	38,20	199	100	0.000259587501527	0.0373703533448	0.709,0.659	0.454,0.475	0.219
27621	ENSG00000140694.12	PARN	chr16	-	14711446	14711507	14704500	14704666	14720962	14720993	27621	252,322	0,0	143,238	10,2	160	100	0.000179888019779	0.0286624488991	1.0,1.0	0.899,0.987	0.057
38938	ENSG00000005187.7	ACSM3	chr16	+	20791118	20791229	20788694	20788902	20792035	20792179	38938	14,7	53,63	2,4	71,119	199	100	0.000173164010277	0.0284188115466	0.117,0.053	0.014,0.017	0.07
27645	ENSG00000080603.12	SRCAP	chr16	+	30732509	30732797	30732033	30732299	30733442	30733607	27645	59,98	3,2	28,9	10,2	199	100	4.8423959307e-05	0.0114346734988	0.908,0.961	0.585,0.693	0.295
36327	ENSG00000102893.11	PHKB	chr16	+	47628047	47628125	47627410	47627468	47630283	47630442	36327	84,117	0,0	71,104	7,5	177	100	0.00106363220236	0.0943556750758	1.0,1.0	0.851,0.922	0.113
16398	ENSG00000260537.1	RP11-529K1.3	chr16	+	70351398	70351491	70349871	70350007	70358487	70358590	16398	526,389	2,12	333,331	17,15	192	100	0.000672223109366	0.071175416512	0.993,0.944	0.911,0.92	0.053
44550	ENSG00000158545.11	ZC3H18	chr16	+	88677675	88677944	88666198	88666356	88688604	88688796	44550	188,61	6,0	109,25	12,8	199	100	0.000289001525127	0.0397656338848	0.94,1.0	0.82,0.611	0.254
2300	ENSG00000132386.6	SERPINF1	chr17	+	1670196	1670288	1665322	1665407	1673145	1673344	2300	477,188	6,2	210,64	9,6	191	100	0.000617393581175	0.0666602286675	0.977,0.98	0.924,0.848	0.092
44687	ENSG00000141485.11	SLC13A5	chr17	-	6590847	6591001	6588041	6589657	6594097	6594259	44687	71,173	8,8	56,76	16,15	199	100	0.000456437253773	0.0548778021267	0.817,0.916	0.638,0.718	0.189
20998	ENSG00000072778.15	ACADVL	chr17	+	7124242	7124377	7124084	7124149	7124856	7125001	20998	677,227	5,0	272,49	7,4	199	100	0.000499238607864	0.058091995563	0.986,1.0	0.951,0.86	0.088
56183	ENSG00000141736.9	ERBB2	chr17	+	37850933	37851153	37849513	37849578	37851240	37851434	56183	16,16	27,18	10,12	45,69	199	100	0.000150650548637	0.0261605473558	0.229,0.309	0.1,0.08	0.179
18992	ENSG00000141696.8	LEPREL4	chr17	-	39959514	39959683	39958962	39959231	39963047	39963131	18992	575,167	2,4	220,93	6,7	199	100	0.000859711846033	0.0847397054725	0.993,0.955	0.949,0.87	0.065
56737	ENSG00000108510.5	MED13	chr17	-	60112823	60112969	60111147	60111345	60129897	60130066	56737	27,73	0,4	29,41	12,10	199	100	0.000246671510981	0.035825216836	1.0,0.902	0.548,0.673	0.341
14867	ENSG00000178607.11	ERN1	chr17	-	62145549	62145651	62144030	62144292	62149340	62149463	14867	29,21	1,0	7,2	4,2	199	100	0.000944050934362	0.0879165217326	0.936,1.0	0.468,0.334	0.567
49849	ENSG00000177728.10	KIAA0195	chr17	+	73481951	73482079	73481508	73481628	73482370	73482507	49849	104,59	0,0	42,15	3,4	199	100	0.000737848653988	0.0759274971162	1.0,1.0	0.876,0.653	0.236
33845	ENSG00000183077.11	AFMID	chr17	+	76202026	76202131	76198783	76198832	76202991	76203782	33845	684,302	18,23	327,217	34,19	199	100	0.00100839141414	0.0921961877056	0.95,0.868	0.829,0.852	0.069
15339	ENSG00000108669.12	CYTH1	chr17	-	76692088	76692091	76688498	76688575	76694350	76694462	15339	74,133	2,20	41,45	21,21	102	100	1.24121555856e-06	0.000565839142759	0.973,0.867	0.657,0.678	0.252
56058	ENSG00000049759.12	NEDD4L	chr18	+	55712303	55712532	55711615	55711940	56057877	56057974	56058	66,26	84,82	10,0	70,7	199	100	0.000780451020156	0.0795551050763	0.283,0.137	0.067,0.0	0.176
43383	ENSG00000141759.10	TXNL4A	chr18	-	77737597	77737701	77732874	77733856	77748239	77748593	43383	1326,1411	58,32	833,1445	64,130	199	100	8.90977180923e-09	5.84890880189e-06	0.92,0.957	0.867,0.848	0.081
32328	ENSG00000065268.6	WDR18	chr19	+	994018	994087	991954	992121	994211	994553	32328	520,146	0,0	149,70	8,2	168	100	7.26597090672e-06	0.00253713790501	1.0,1.0	0.917,0.954	0.065
46767	ENSG00000189144.9	ZNF573	chr19	-	38261046	38261237	38260644	38260737	38262203	38262336	46767	8,7	17,12	0,1	24,26	199	100	0.000123713195926	0.0229414589259	0.191,0.227	0.0,0.019	0.2
38659	ENSG00000079385.17	CEACAM1	chr19	-	43015727	43015780	43015040	43015072	43016501	43016631	38659	744,934	85,139	293,498	77,109	152	100	8.06415877553e-05	0.0172999923849	0.852,0.816	0.715,0.75	0.102
36596	ENSG00000142534.2	RPS11	chr19	+	50000429	50000625	49999690	49999728	50000776	50000819	36596	15,8	9,11	4,1	13,21	199	100	0.0011660906353	0.0998075055601	0.456,0.268	0.134,0.023	0.283
50318	ENSG00000240225.6	ZNF542	chr19	+	56886054	56886194	56884899	56884992	56888235	56890922	50318	7,8	32,34	0,2	66,33	199	100	0.000415123344793	0.051053908458	0.099,0.106	0.0,0.03	0.088
6692	ENSG00000119787.9	ATL2	chr2	-	38570409	38570654	38546078	38546161	38604284	38604415	6692	207,175	0,0	153,253	8,6	199	100	0.000880201320914	0.0857295191583	1.0,1.0	0.906,0.955	0.07
28805	ENSG00000080345.13	RIF1	chr2	+	152324987	152325065	152324513	152324660	152325154	152325270	28805	34,37	19,43	10,19	32,50	177	100	0.000599004652193	0.0657723426143	0.503,0.327	0.15,0.177	0.252
32731	ENSG00000082438.11	COBLL1	chr2	-	165559613	165559730	165557031	165557266	165560953	165561028	32731	16,3	38,23	2,2	58,36	199	100	0.000590453561333	0.0656155358186	0.175,0.062	0.017,0.027	0.097
57669	ENSG00000128641.13	MYO1B	chr2	+	192265474	192265561	192265107	192265194	192267357	192267444	57669	741,444	26,16	528,426	29,41	186	100	0.00113715885942	0.0979657880387	0.939,0.937	0.907,0.848	0.06
18168	ENSG00000115524.11	SF3B1	chr2	-	198283619	198283675	198283232	198283312	198285151	198285266	18168	71,42	406,283	20,14	361,223	155	100	4.43990235366e-06	0.00161923238838	0.101,0.087	0.035,0.039	0.057
54791	ENSG00000196141.8	SPATS2L	chr2	+	201173609	201173813	201171098	201171324	201194153	201194203	54791	8,12	105,55	0,0	102,36	199	100	0.000118849248693	0.0227044999559	0.037,0.099	0.0,0.0	0.068
34577	ENSG00000023228.9	NDUFS1	chr2	-	207017142	207017234	207014541	207014649	207018341	207018406	34577	639,383	2,2	333,189	13,6	191	100	8.0848066587e-06	0.00273574854596	0.994,0.99	0.931,0.943	0.055
19628	ENSG00000088833.13	NSFL1C	chr20	-	1443979	1444086	1438844	1438919	1444973	1445071	19628	24,8	58,51	4,2	52,56	199	100	0.000495412088869	0.058091995563	0.172,0.073	0.037,0.018	0.095
37895	ENSG00000101247.13	NDUFAF5	chr20	+	13795063	13795161	13789487	13789548	13797108	13797192	37895	7,8	17,14	2,1	20,33	197	100	0.00091927612699	0.0872063592954	0.173,0.225	0.048,0.015	0.168
9657	ENSG00000101003.8	GINS1	chr20	+	25400319	25400441	25398740	25398831	25405846	25405963	9657	16,8	65,51	6,2	58,138	199	100	0.000131830211114	0.0241735364212	0.11,0.073	0.049,0.007	0.064
13154	ENSG00000000419.8	DPM1	chr20	-	49557401	49557470	49552684	49552799	49558567	49558663	13154	1284,963	101,54	826,744	113,84	168	100	5.94239932464e-05	0.0136223691925	0.883,0.914	0.813,0.841	0.072
52151	ENSG00000087460.19	GNAS	chr20	+	57475003	57475085	57473995	57474040	57478585	57478640	52151	64,53	494,294	2,11	325,221	181	100	4.60637084032e-11	3.87679256646e-08	0.067,0.091	0.003,0.027	0.064
15686	ENSG00000160282.9	FTCD	chr21	-	47558421	47558560	47557152	47557248	47558793	47558837	15686	735,278	0,2	326,111	0,12	199	100	7.84550061926e-05	0.0169416359754	1.0,0.986	1.0,0.823	0.082
26850	ENSG00000163719.14	MTMR14	chr3	+	9719667	9719742	9719000	9719071	9724861	9724928	26850	69,83	2,0	39,41	7,6	174	100	0.000265756152012	0.0377615332359	0.952,1.0	0.762,0.797	0.196
14288	ENSG00000056736.5	IL17RB	chr3	+	53889320	53889368	53886897	53887024	53890870	53891013	14288	406,249	41,30	308,140	54,43	147	100	0.000914309164261	0.0871687729574	0.871,0.85	0.795,0.689	0.119
1791	ENSG00000181458.6	TMEM45A	chr3	+	100289452	100293503	100287767	100287811	100295768	100296288	1791	5,8	21,5	2,0	43,24	199	100	0.000603287774091	0.0657723426143	0.107,0.446	0.023,0.0	0.265
1640	ENSG00000114423.14	CBLB	chr3	-	105400322	105400454	105397274	105397415	105400567	105400662	1640	140,223	4,7	78,91	16,13	199	100	2.17972722816e-06	0.000953935824132	0.946,0.941	0.71,0.779	0.199
664	ENSG00000163608.10	C3orf17	chr3	-	112736294	112736449	112732799	112732879	112738388	112738553	664	25,16	3,2	12,3	10,4	199	100	0.00111070844488	0.0970851574886	0.807,0.801	0.376,0.274	0.479
52843	ENSG00000114126.13	TFDP2	chr3	-	141772956	141772991	141724282	141724386	141811902	141811969	52843	15,36	20,69	1,8	29,59	134	100	9.29084532397e-06	0.00308033753605	0.359,0.28	0.025,0.092	0.261
40814	ENSG00000237765.2	FAM200B	chr4	+	15686472	15686582	15683418	15683591	15687858	15688085	40814	13,11	24,13	0,5	15,34	199	100	0.000605162461369	0.0657723426143	0.214,0.298	0.0,0.069	0.222
19993	ENSG00000145216.11	FIP1L1	chr4	+	54245239	54245284	54244005	54244090	54245391	54245431	19993	109,48	109,39	39,37	87,88	144	100	1.27395449155e-05	0.00396578365527	0.41,0.461	0.237,0.226	0.204
36175	ENSG00000109205.12	ODAM	chr4	+	71067170	71067218	71066213	71066318	71067974	71068046	36175	52,74	10,12	29,90	21,40	147	100	0.00055726763624	0.0630730883597	0.78,0.808	0.484,0.605	0.25
40480	ENSG00000109756.4	RAPGEF2	chr4	+	160164925	160164943	160162352	160162520	160225493	160225625	40480	16,28	3,3	6,14	20,17	117	100	2.43448561521e-06	0.0010377548227	0.82,0.889	0.204,0.413	0.546
56913	ENSG00000129187.10	DCTD	chr4	-	183837033	183837041	183836613	183836728	183837571	183837692	56913	20,3	45,24	0,1	26,56	107	100	0.000197947598351	0.030792578297	0.293,0.105	0.0,0.016	0.191
40693	ENSG00000154556.13	SORBS2	chr4	-	186605907	186606000	186599949	186599976	186611715	186611765	40693	35,53	1,9	19,25	20,40	192	100	1.13992720818e-08	7.33643740276e-06	0.948,0.754	0.331,0.246	0.563
16323	ENSG00000188002.6	RP11-43F13.1	chr5	-	1600432	1600637	1599034	1599942	1602805	1602850	16323	53,50	19,23	8,22	20,21	199	100	0.00101563938558	0.0923964417418	0.584,0.522	0.167,0.345	0.297
21188	ENSG00000112851.10	ERBB2IP	chr5	+	65364704	65364848	65350460	65350779	65370851	65371058	21188	18,39	105,243	4,6	152,345	199	100	1.13044684724e-10	8.62898996906e-08	0.079,0.075	0.013,0.009	0.066
1562	ENSG00000153914.11	SREK1	chr5	+	65451892	65454760	65449290	65449424	65455046	65455162	1562	63,80	69,107	39,32	88,125	199	100	1.59818681388e-05	0.00485715609185	0.315,0.273	0.182,0.114	0.146
14843	ENSG00000118985.10	ELL2	chr5	-	95249474	95249638	95242226	95242486	95278705	95278753	14843	291,451	1,1	227,426	10,18	199	100	1.22438273287e-06	0.000565839142759	0.993,0.996	0.919,0.922	0.074
15058	ENSG00000124588.15	NQO2	chr6	+	3015763	3015877	3012777	3012908	3017117	3017219	15058	97,53	6,9	47,21	16,11	199	100	0.000939021506964	0.0879165217326	0.89,0.747	0.596,0.49	0.276
351	ENSG00000137177.14	KIF13A	chr6	-	17771344	17771449	17764385	17765177	17772138	17772290	351	120,95	1,8	58,32	11,9	199	100	0.000201712350383	0.0310835890921	0.984,0.856	0.726,0.641	0.236
17424	ENSG00000137409.14	MTCH1	chr6	-	36949363	36949448	36946280	36946387	36953628	36954074	17424	1045,236	4,4	514,109	11,8	184	100	0.000172730700453	0.0284188115466	0.993,0.97	0.962,0.881	0.06
35560	ENSG00000124596.12	OARD1	chr6	-	41037814	41037873	41034677	41035176	41038870	41039015	35560	275,139	0,2	124,138	4,11	158	100	0.000154636151155	0.0264355332779	1.0,0.978	0.952,0.888	0.069
23103	ENSG00000013375.11	PGM3	chr6	-	83881655	83881778	83880023	83880197	83884092	83884206	23103	325,309	8,6	242,317	11,31	199	100	0.000235592424996	0.0350825321457	0.953,0.963	0.917,0.837	0.081
35572	ENSG00000135341.13	MAP3K7	chr6	-	91254270	91254351	91246055	91246120	91256976	91257106	35572	58,24	10,7	18,14	20,15	180	100	2.42650686189e-05	0.00669287686788	0.763,0.656	0.333,0.341	0.372
38862	ENSG00000135535.10	CD164	chr6	-	109691613	109691670	109687720	109690220	109697276	109697315	38862	308,381	23,22	170,235	23,34	156	100	0.000984034283875	0.091215050303	0.896,0.917	0.826,0.816	0.086
26329	ENSG00000111879.14	FAM184A	chr6	-	119295592	119295714	119287999	119288117	119296188	119296373	26329	47,34	1,2	10,42	9,11	199	100	0.000675558835718	0.0711838467464	0.959,0.895	0.358,0.657	0.419
868	ENSG00000079819.12	EPB41L2	chr6	-	131197813	131197915	131190798	131191266	131199243	131199390	868	14,19	0,3	36,34	47,56	199	100	2.91293034282e-06	0.00115194111617	1.0,0.761	0.278,0.234	0.625
42115	ENSG00000154269.10	ENPP3	chr6	+	132054727	132054863	132047185	132047340	132058494	132058572	42115	96,87	5,5	80,34	15,22	199	100	0.000312813849442	0.0415687812965	0.906,0.897	0.728,0.437	0.319
49049	ENSG00000120254.11	MTHFD1L	chr6	+	151420675	151420793	151413602	151413723	151422661	151423023	49049	6,2	32,19	0,0	71,32	199	100	0.000654346785672	0.0697325472276	0.086,0.05	0.0,0.0	0.068
49945	ENSG00000146433.8	TMEM181	chr6	+	159050731	159050851	159046734	159046786	159052354	159052421	49945	426,411	22,28	288,259	33,39	199	100	0.000262124624075	0.0375386792342	0.907,0.881	0.814,0.769	0.103
7616	ENSG00000164877.14	MICALL2	chr7	-	1474736	1474783	1474001	1474308	1476377	1476492	7616	148,73	3,0	66,42	8,6	146	100	0.000151433567852	0.0261605473558	0.971,1.0	0.85,0.827	0.147
41969	ENSG00000106443.10	PHF14	chr7	+	11101417	11101468	11091238	11091407	11101590	11101712	41969	174,158	2,0	147,209	9,12	150	100	0.000489788009017	0.0579076394934	0.983,1.0	0.916,0.921	0.073
46421	ENSG00000129103.13	SUMF2	chr7	+	56141866	56141911	56140689	56140804	56144526	56144582	46421	216,94	1,0	92,49	9,0	144	100	0.000807507573566	0.0815532956528	0.993,1.0	0.877,1.0	0.058
14057	ENSG00000001629.5	ANKIB1	chr7	+	92021554	92021606	92020479	92020658	92025678	92025790	14057	57,89	0,0	22,25	1,8	151	100	0.000239747416569	0.0351518188394	1.0,1.0	0.936,0.674	0.195
33642	ENSG00000105852.6	PON3	chr7	-	95006844	95006988	95001484	95001650	95019465	95019521	33642	30,47	56,45	6,12	47,61	199	100	6.57060840592e-06	0.00231900085707	0.212,0.344	0.06,0.09	0.203
47464	ENSG00000006453.9	BAIAP2L1	chr7	-	97949548	97949610	97949369	97949441	97984353	97984440	47464	219,167	0,0	92,127	6,2	161	100	0.00105598789323	0.0939314108929	1.0,1.0	0.905,0.975	0.06
2792	ENSG00000117868.11	ESYT2	chr7	-	158545471	158545534	158542339	158542414	158552176	158552272	2792	133,123	24,45	37,49	42,55	162	100	8.17596198521e-08	4.62688965932e-05	0.774,0.628	0.352,0.355	0.348
18843	ENSG00000147324.6	MFHAS1	chr8	-	8647833	8647944	8643268	8643565	8654874	8655001	18843	42,36	119,100	12,31	94,167	199	100	0.000942390216518	0.0879165217326	0.151,0.153	0.06,0.085	0.079
35415	ENSG00000078674.13	PCM1	chr8	+	17840741	17840798	17838078	17838264	17842955	17843128	35415	41,43	207,147	8,16	170,160	156	100	3.9188708556e-06	0.00147849538038	0.113,0.158	0.029,0.06	0.091
30835	ENSG00000077782.15	FGFR1	chr8	-	38286764	38286908	38285863	38285953	38287199	38287466	30835	27,25	28,74	15,5	65,85	199	100	0.000135894395562	0.0246434350582	0.326,0.145	0.104,0.029	0.169
39986	ENSG00000198363.11	ASPH	chr8	-	62559308	62559437	62557158	62557191	62563608	62563683	39986	2127,2367	71,75	1019,1408	55,123	199	100	2.2143558942e-07	0.000117228715347	0.938,0.941	0.903,0.852	0.062
56746	ENSG00000147601.9	TERF1	chr8	+	73942570	73942630	73939174	73939287	73944276	73944368	56746	29,26	48,36	8,18	51,72	159	100	0.000112646148276	0.02187801494	0.275,0.312	0.09,0.136	0.18
3572	ENSG00000071894.10	CPSF1	chr8	-	145630557	145630688	145628261	145628385	145634398	145634556	3572	10,16	2,1	9,4	10,8	199	100	0.000700956862195	0.0729465852665	0.715,0.889	0.311,0.201	0.546
14246	ENSG00000083223.13	ZCCHC6	chr9	-	88941285	88941406	88940248	88940429	88943254	88943407	14246	4,2	1,1	0,1	5,17	199	100	0.0004965379278	0.058091995563	0.668,0.501	0.0,0.029	0.57
14030	ENSG00000136931.5	NR5A1	chr9	-	127265357	127265499	127262705	127262994	127265572	127265689	14030	275,134	2,1	151,84	12,6	199	100	2.8851137057e-05	0.00763694251308	0.986,0.985	0.863,0.876	0.116
48631	ENSG00000204054.7	LINC00963	chr9	+	132255694	132255874	132250823	132251578	132265601	132266553	48631	48,32	5,2	3,1	4,2	199	100	0.000342271928392	0.0442298878174	0.828,0.889	0.274,0.201	0.621
7900	ENSG00000125354.18	SEPT6	chrX	-	118759297	118759342	118752675	118752749	118763280	118763471	7900	11,14	5,6	10,4	21,31	144	100	2.63407346294e-05	0.0070291214044	0.604,0.618	0.249,0.082	0.446
