ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
31439	ENSG00000107890.12	ANKRD26	chr10	-	27350072	27350171	27349440	27349469	27352916	27353010	31439	9,12	19,17	33,22	1,1	198	100	4.01619848489e-11	3.46904428604e-08	0.193,0.263	0.943,0.917	-0.702
16052	ENSG00000136758.14	YME1L1	chr10	-	27436349	27436597	27434356	27434519	27437834	27437969	16052	32,11	179,105	31,22	108,47	199	100	0.000806233853503	0.0815532956528	0.082,0.05	0.126,0.19	-0.092
40823	ENSG00000096746.13	HNRNPH3	chr10	+	70098259	70098399	70096955	70097090	70098896	70098983	40823	240,166	12,2	191,220	0,0	199	100	0.000593765355174	0.0656200681915	0.91,0.977	1.0,1.0	-0.056
17369	ENSG00000156110.9	ADK	chr10	+	76285013	76285184	76158228	76158337	76349039	76349075	17369	340,232	38,25	309,372	21,10	199	100	0.000411439387512	0.051053908458	0.818,0.823	0.881,0.949	-0.095
7355	ENSG00000138326.14	RPS24	chr10	+	79799961	79799983	79796951	79797062	79800372	79800455	7355	646,381	1464,888	575,614	738,997	121	100	4.91630018881e-05	0.0115262657927	0.267,0.262	0.392,0.337	-0.1
27551	ENSG00000095637.16	SORBS1	chr10	-	97174250	97174619	97170389	97170534	97181717	97181830	27551	17,38	99,260	88,137	43,70	199	100	0.0	0.0	0.079,0.068	0.507,0.496	-0.428
15511	ENSG00000148737.11	TCF7L2	chr10	+	114849158	114849299	114799783	114799885	114900942	114901075	15511	22,46	155,302	25,39	82,120	199	100	0.000523151223721	0.0600398343224	0.067,0.071	0.133,0.14	-0.068
5456	ENSG00000107679.10	PLEKHA1	chr10	+	124187791	124187936	124186457	124186547	124189139	124189638	5456	97,168	160,172	78,155	50,79	199	100	1.12799318167e-05	0.00362981570607	0.234,0.329	0.439,0.496	-0.186
16299	ENSG00000085733.11	CTTN	chr11	+	70267575	70267686	70266505	70266616	70269045	70269101	16299	462,329	152,150	342,422	20,43	199	100	0.0	0.0	0.604,0.524	0.896,0.831	-0.299
27094	ENSG00000137497.13	NUMA1	chr11	-	71723446	71723488	71721852	71721900	71723940	71727306	27094	47,18	65,41	71,44	54,29	141	100	0.00103157594807	0.0927655269685	0.339,0.237	0.483,0.518	-0.212
17487	ENSG00000073921.13	PICALM	chr11	-	85685750	85685855	85670079	85670103	85692171	85692271	17487	96,136	8,5	136,270	0,0	199	100	1.7584614178e-05	0.00510778576252	0.858,0.932	1.0,1.0	-0.105
52635	ENSG00000087053.14	MTMR2	chr11	-	95647405	95647476	95621319	95621425	95657038	95657371	52635	72,123	10,19	38,160	1,6	170	100	0.00105196332696	0.0939314108929	0.809,0.792	0.957,0.94	-0.148
19274	ENSG00000111206.8	FOXM1	chr12	-	2974520	2974565	2973848	2973918	2975558	2975687	19274	43,67	399,520	159,295	187,301	144	100	0.0	0.0	0.07,0.082	0.371,0.405	-0.312
22782	ENSG00000050426.11	LETMD1	chr12	+	51447560	51447643	51445874	51445990	51450132	51450285	22782	5,15	7,12	29,23	4,3	182	100	0.000286696044842	0.0397055876787	0.282,0.407	0.799,0.808	-0.459
28740	ENSG00000111144.5	LTA4H	chr12	-	96397615	96397759	96396767	96396842	96400091	96400187	28740	692,603	95,116	678,1038	61,112	199	100	0.00100345447596	0.0920010789509	0.785,0.723	0.848,0.823	-0.081
17195	ENSG00000023516.7	AKAP11	chr13	+	42887182	42887266	42882589	42882745	42888029	42888076	17195	29,21	137,146	72,120	98,198	183	100	7.79203368495e-11	6.08947432479e-08	0.104,0.073	0.286,0.249	-0.179
29811	ENSG00000253710.1	ALG11	chr13	+	52598141	52599073	52586549	52586598	52602454	52603800	29811	95,85	4,10	78,138	0,0	199	100	0.000312540140098	0.0415687812965	0.923,0.81	1.0,1.0	-0.133
22083	ENSG00000136153.15	LMO7	chr13	+	76383289	76383319	76378424	76378677	76391296	76391414	22083	15,17	82,126	88,106	10,48	129	100	0.0	0.0	0.124,0.095	0.872,0.631	-0.642
26905	ENSG00000152767.11	FARP1	chr13	+	98811745	98811852	98795433	98795746	98865473	98865486	26905	2,0	79,57	6,0	18,1	199	100	7.82815890916e-05	0.0169416359754	0.013,0.0	0.143,0.0	-0.065
109	ENSG00000157326.14	DHRS4	chr14	+	24435491	24435626	24429110	24429212	24436419	24436475	109	59,34	304,109	74,57	149,159	199	100	0.00111352217103	0.0970851574886	0.089,0.136	0.2,0.153	-0.064
31092	ENSG00000174373.11	RALGAPA1	chr14	-	36017713	36017744	36008840	36008896	36018315	36018440	31092	117,209	58,95	72,206	8,11	130	100	2.44249065418e-14	3.20679482969e-11	0.608,0.629	0.874,0.935	-0.286
24023	ENSG00000151338.14	MIPOL1	chr14	+	37696930	37697043	37667154	37667309	37716307	37716445	24023	1,2	8,9	10,7	4,2	199	100	0.000415669080945	0.051053908458	0.059,0.1	0.557,0.638	-0.518
10228	ENSG00000075413.13	MARK3	chr14	+	103964838	103964865	103957875	103958371	103966492	103966537	10228	0,1	4,16	12,11	0,6	126	100	0.000490458635078	0.0579076394934	0.0,0.047	1.0,0.593	-0.773
5315	ENSG00000273173.1	SNURF	chr15	+	25212175	25212299	25207260	25207356	25213078	25213176	5315	53,68	1111,356	61,109	496,175	199	100	7.66822912945e-06	0.00262181546579	0.023,0.088	0.058,0.238	-0.092
6657	ENSG00000104067.12	TJP1	chr15	-	30011980	30012220	30010469	30011342	30012561	30012912	6657	37,62	58,110	60,194	13,69	199	100	5.49227330282e-13	6.43831737923e-10	0.243,0.221	0.699,0.586	-0.41
7442	ENSG00000140382.10	HMG20A	chr15	+	77740060	77740153	77713015	77713346	77750745	77750838	7442	0,3	106,21	16,8	39,20	192	100	1.45007996277e-07	7.93266243633e-05	0.0,0.069	0.176,0.172	-0.139
25962	ENSG00000103415.7	HMOX2	chr16	+	4533637	4533755	4526442	4526488	4555484	4555611	25962	16,17	218,107	18,19	88,58	199	100	0.00105574624063	0.0939314108929	0.036,0.074	0.093,0.141	-0.062
52673	ENSG00000185947.10	ZNF267	chr16	+	31901527	31901571	31896481	31896577	31925796	31926046	52673	2,2	57,40	15,17	37,54	143	100	2.08824851776e-05	0.00590676886597	0.024,0.034	0.221,0.18	-0.172
49065	ENSG00000166747.8	AP1G1	chr16	-	71801779	71801788	71799391	71799487	71803525	71803602	49065	11,8	80,92	32,26	60,80	108	100	2.25766766787e-05	0.00627995134428	0.113,0.075	0.331,0.231	-0.187
35323	ENSG00000103335.15	PIEZO1	chr16	-	88783944	88784023	88783430	88783619	88785981	88786129	35323	19,10	189,140	22,37	134,102	178	100	9.63475153961e-05	0.0197650906115	0.053,0.039	0.084,0.169	-0.081
23232	ENSG00000141013.10	GAS8	chr16	+	90102040	90102095	90099125	90099332	90102788	90102994	23232	340,148	56,18	160,91	8,4	154	100	0.000584257164552	0.0655624838669	0.798,0.842	0.929,0.937	-0.113
27006	ENSG00000166579.11	NDEL1	chr17	+	8366637	8366672	8363326	8363478	8370247	8370976	27006	1,4	36,75	22,34	19,46	134	100	5.14321918388e-12	5.11563282644e-09	0.02,0.038	0.464,0.355	-0.38
51037	ENSG00000133030.15	MPRIP	chr17	+	17083920	17083983	17083316	17083402	17088136	17088874	51037	13,2	47,59	85,45	14,18	162	100	1.11022302463e-16	1.7352785875e-13	0.146,0.02	0.789,0.607	-0.615
22448	ENSG00000221995.4	TIAF1	chr17	-	27412621	27412666	27409333	27409456	27413455	27413595	22448	13,10	251,102	173,60	84,17	144	100	0.0	0.0	0.035,0.064	0.589,0.71	-0.6
23647	ENSG00000172660.7	TAF15	chr17	+	34160910	34160945	34151081	34151202	34161569	34161602	23647	256,352	23,19	188,400	5,9	134	100	0.00115615296603	0.0993413843037	0.893,0.933	0.966,0.971	-0.055
9122	ENSG00000008294.16	SPAG9	chr17	-	49053223	49053262	49052131	49052308	49054468	49054582	9122	7,7	154,105	60,26	91,99	138	100	2.04676176008e-09	1.39960127606e-06	0.032,0.046	0.323,0.16	-0.202
6820	ENSG00000170832.8	USP32	chr17	-	58365883	58366043	58348710	58348842	58372043	58372162	6820	198,224	16,4	188,242	0,0	199	100	2.5388358861e-05	0.00688695952805	0.861,0.966	1.0,1.0	-0.087
19289	ENSG00000182534.9	MXRA7	chr17	-	74679928	74680009	74676858	74676961	74681153	74681247	19289	43,47	1355,479	55,37	384,111	180	100	1.75219838638e-11	1.55438939557e-08	0.017,0.052	0.074,0.156	-0.08
49397	ENSG00000171302.12	CANT1	chr17	-	76996181	76996352	76993921	76994045	77005745	77005875	49397	13,7	12,5	20,12	1,1	199	100	0.000416855481423	0.051053908458	0.352,0.413	0.91,0.858	-0.502
46538	ENSG00000214087.4	ARL16	chr17	-	79649520	79649705	79649063	79649179	79650042	79650148	46538	7,9	26,19	19,7	7,6	199	100	0.00111510539479	0.0970851574886	0.119,0.192	0.577,0.37	-0.318
12610	ENSG00000101577.5	LPIN2	chr18	-	3011715	3011957	2960646	2960847	3013084	3013313	12610	14,11	162,160	12,12	61,14	199	100	9.4665182654e-05	0.0195777457666	0.042,0.033	0.09,0.301	-0.158
42008	ENSG00000172175.8	MALT1	chr18	+	56378152	56378185	56377207	56377304	56381314	56381341	42008	22,35	85,84	58,115	5,17	132	100	0.0	0.0	0.164,0.24	0.898,0.837	-0.665
46826	ENSG00000099331.9	MYO9B	chr19	+	17321141	17321189	17320394	17320518	17321523	17321657	46826	27,14	18,24	34,8	0,0	147	100	6.36519619901e-07	0.000316552780061	0.505,0.284	1.0,1.0	-0.606
38656	ENSG00000079385.17	CEACAM1	chr19	-	43023099	43023387	43016501	43016631	43025418	43025673	38656	753,1039	33,62	427,779	12,12	199	100	0.000115019854903	0.0222076276322	0.92,0.894	0.947,0.97	-0.051
39041	ENSG00000131116.7	ZNF428	chr19	-	44122984	44123150	44118088	44118586	44123709	44123780	39041	10,2	39,9	16,11	8,1	199	100	8.74362931088e-05	0.0185156222497	0.114,0.1	0.501,0.847	-0.567
3918	ENSG00000115761.11	NOL10	chr2	-	10797867	10798017	10794606	10794673	10799297	10799376	3918	80,67	13,10	94,56	0,3	199	100	0.000464513699836	0.0556450115683	0.756,0.771	1.0,0.904	-0.188
30573	ENSG00000198522.9	GPN1	chr2	+	27870687	27870810	27865295	27865386	27872981	27873230	30573	259,149	12,3	201,252	0,0	199	100	0.000167287819536	0.028318490254	0.916,0.961	1.0,1.0	-0.061
18261	ENSG00000171103.6	TRMT61B	chr2	-	29087882	29087985	29083983	29084174	29092444	29093161	18261	166,129	6,9	168,139	0,0	199	100	0.000272179366415	0.0380492132185	0.933,0.878	1.0,1.0	-0.095
43985	ENSG00000115355.11	CCDC88A	chr2	-	55539569	55539715	55536297	55536390	55543063	55543250	43985	83,144	9,6	112,151	0,1	199	100	0.000843499484789	0.0840490771418	0.823,0.923	1.0,0.987	-0.121
27719	ENSG00000204843.8	DCTN1	chr2	-	74617709	74617855	74605126	74605372	74618920	74618970	27719	0,0	125,54	5,2	52,6	199	100	0.000179264127255	0.0286624488991	0.0,0.0	0.046,0.143	-0.095
12758	ENSG00000005436.9	GCFC2	chr2	-	75929438	75929573	75928315	75928413	75933648	75933777	12758	4,0	6,2	16,31	0,1	199	100	4.22639407091e-05	0.0102002156316	0.251,0.0	1.0,0.94	-0.845
5052	ENSG00000071054.11	MAP4K4	chr2	+	102487955	102488147	102486756	102486877	102490108	102490226	5052	761,1447	1044,1477	830,2099	683,1720	199	100	0.000945511750041	0.0879165217326	0.268,0.33	0.379,0.38	-0.08
57088	ENSG00000136731.8	UGGT1	chr2	+	128913965	128913989	128913062	128913161	128914825	128914920	57088	130,81	98,35	71,79	0,0	123	100	1.11022302463e-16	1.7352785875e-13	0.519,0.653	1.0,1.0	-0.414
30617	ENSG00000136699.15	SMPD4	chr2	-	130918758	130918845	130914933	130914969	130921946	130922018	30617	39,102	21,68	45,106	14,16	186	100	0.0003068329548	0.0412753199811	0.5,0.446	0.633,0.781	-0.234
13178	ENSG00000091409.10	ITGA6	chr2	+	173366499	173366629	173362702	173362828	173368818	173369262	13178	44,56	216,131	64,61	111,112	199	100	0.00112788013565	0.0974221307696	0.093,0.177	0.225,0.215	-0.085
36716	ENSG00000237298.4	TTN-AS1	chr2	+	179464320	179464477	179462322	179462408	179465284	179465394	36716	10,13	13,15	8,20	2,0	199	100	0.00092926543461	0.0876473544833	0.279,0.303	0.668,1.0	-0.543
14402	ENSG00000197713.10	RPE	chr2	+	210882876	210882945	210882196	210882283	210884392	210884664	14402	5,4	72,90	21,10	78,54	168	100	0.000321101160949	0.042327322915	0.04,0.026	0.138,0.099	-0.086
40351	ENSG00000115414.14	FN1	chr2	-	216257653	216257926	216256354	216256537	216259250	216259442	40351	38,58	6223,13660	657,616	3418,4142	199	100	0.0	0.0	0.003,0.002	0.088,0.07	-0.076
53347	ENSG00000197756.5	RPL37A	chr2	+	217385436	217385497	217364671	217364754	217393992	217394174	53347	34,25	68,86	38,54	29,53	160	100	1.2168451623e-05	0.00384043353482	0.238,0.154	0.45,0.389	-0.223
19626	ENSG00000088833.13	NSFL1C	chr20	-	1436358	1436364	1435611	1435777	1438844	1438895	19626	6,7	337,150	25,25	205,73	105	100	1.40722473674e-08	8.71496934604e-06	0.017,0.043	0.104,0.246	-0.145
34710	ENSG00000125844.11	RRBP1	chr20	-	17660643	17660720	17640624	17641173	17662672	17662928	34710	278,185	307,133	243,87	108,42	176	100	0.000170437357795	0.0283972862686	0.34,0.441	0.561,0.541	-0.161
16453	ENSG00000088298.8	EDEM2	chr20	-	33721907	33721958	33719430	33719586	33722540	33722752	16453	5,3	281,55	11,5	105,11	150	100	0.0001203479043	0.022735454488	0.012,0.035	0.065,0.233	-0.126
52562	ENSG00000088367.16	EPB41L1	chr20	+	34797409	34797820	34785780	34785963	34800193	34800298	52562	36,13	94,84	85,40	36,13	199	100	0.0	0.0	0.161,0.072	0.543,0.607	-0.458
31519	ENSG00000101199.8	ARFGAP1	chr20	+	61905351	61905562	61904146	61904272	61906928	61906992	31519	5,0	193,62	3,5	48,4	199	100	0.000510571529024	0.0590087651308	0.013,0.0	0.03,0.386	-0.202
37863	ENSG00000142192.16	APP	chr21	-	27369674	27369731	27354656	27354790	27372329	27372497	37863	208,207	474,584	194,184	213,239	156	100	2.36445854007e-08	1.43719671594e-05	0.22,0.185	0.369,0.33	-0.147
16035	ENSG00000159110.15	IFNAR2	chr21	+	34632901	34633032	34624966	34625135	34635097	34636818	16035	45,41	6,7	50,68	0,1	199	100	0.000999489068753	0.0920010789509	0.79,0.746	1.0,0.972	-0.218
16618	ENSG00000160194.13	NDUFV3	chr21	+	44317036	44317157	44313374	44313491	44328973	44333414	16618	345,261	39,26	208,234	15,2	199	100	0.00102772748725	0.0927655269685	0.816,0.835	0.875,0.983	-0.104
22631	ENSG00000243156.3	MICAL3	chr22	-	18295272	18295323	18293468	18293579	18299455	18299550	22631	3,0	63,39	3,12	16,8	150	100	0.000183481258443	0.0289538718552	0.031,0.0	0.111,0.5	-0.29
11841	ENSG00000144711.9	IQSEC1	chr3	-	12944272	12944322	12942347	12943022	12949848	12950025	11841	15,10	58,141	33,33	30,31	149	100	1.77136083579e-12	1.93804589044e-09	0.148,0.045	0.425,0.417	-0.325
7563	ENSG00000093167.13	LRRFIP2	chr3	-	37132957	37133029	37125126	37125297	37136282	37136399	7563	25,19	58,51	76,110	11,35	171	100	9.10382880193e-15	1.24506238652e-11	0.201,0.179	0.802,0.648	-0.535
42042	ENSG00000060971.13	ACAA1	chr3	-	38167652	38167832	38167316	38167372	38168000	38168191	42042	414,270	79,33	210,114	13,4	199	100	9.48378142429e-05	0.0195777457666	0.725,0.804	0.89,0.935	-0.148
41228	ENSG00000178035.7	IMPDH2	chr3	-	49063427	49063499	49062558	49062702	49063756	49063852	41228	0,0	170,49	6,4	101,17	171	100	0.000244171473022	0.0356197344844	0.0,0.0	0.034,0.121	-0.077
20135	ENSG00000016391.6	CHDH	chr3	-	53853215	53853358	53852964	53853067	53853558	53853701	20135	9,10	52,50	20,8	13,9	199	100	2.49855675627e-06	0.00103810289128	0.08,0.091	0.436,0.309	-0.287
33419	ENSG00000113924.7	HGD	chr3	-	120365113	120365213	120360435	120360540	120365819	120365899	33419	239,154	95,51	171,150	30,16	199	100	1.28072713481e-05	0.00396578365527	0.558,0.603	0.741,0.825	-0.202
51675	ENSG00000113971.14	NPHP3	chr3	-	132415574	132415657	132413670	132413809	132416103	132416206	51675	0,0	27,31	6,0	4,3	182	100	0.000817411008847	0.0819783098382	0.0,0.0	0.452,0.0	-0.226
56718	ENSG00000184432.5	COPB2	chr3	-	139103845	139104271	139102139	139102277	139108389	139108468	56718	5,4	91,86	10,18	77,58	199	100	0.000526660677148	0.0602319979304	0.027,0.023	0.061,0.135	-0.073
13321	ENSG00000152952.7	PLOD2	chr3	-	145795648	145795711	145794568	145794682	145796902	145797044	13321	146,233	977,582	156,376	384,349	162	100	0.000233859238491	0.0350825321457	0.084,0.198	0.2,0.399	-0.158
22110	ENSG00000173905.4	GOLIM4	chr3	-	167758573	167758657	167754623	167754782	167759179	167759262	22110	17,32	52,57	91,162	13,3	183	100	0.0	0.0	0.152,0.235	0.793,0.967	-0.686
43728	ENSG00000156976.10	EIF4A2	chr3	+	186506098	186506209	186505542	186505671	186506913	186507080	43728	451,336	1864,1335	467,629	972,698	199	100	7.20824289147e-10	5.03396077504e-07	0.108,0.112	0.194,0.312	-0.143
54214	ENSG00000087266.11	SH3BP2	chr4	+	2825121	2825296	2824661	2824764	2826339	2826457	54214	2,0	25,16	8,2	11,1	199	100	0.000777466906436	0.0794978076945	0.039,0.0	0.268,0.501	-0.365
49456	ENSG00000007062.7	PROM1	chr4	-	15981017	15981086	15972665	15972705	15981503	15981527	49456	3,1	14,4	9,3	2,0	168	100	0.000891464912824	0.0865627431035	0.113,0.13	0.728,1.0	-0.742
32522	ENSG00000168214.16	RBPJ	chr4	+	26364067	26364250	26322635	26322670	26387974	26388013	32522	374,304	186,158	260,373	82,90	199	100	2.92388231868e-05	0.00767764714768	0.503,0.492	0.614,0.676	-0.148
23846	ENSG00000163697.12	APBB2	chr4	-	40937093	40937156	40936630	40936716	40946881	40947090	23846	2,3	56,46	43,24	14,26	162	100	2.92909918542e-10	2.09003962094e-07	0.022,0.039	0.655,0.363	-0.479
16782	ENSG00000138674.12	SEC31A	chr4	-	83752089	83752128	83750152	83750211	83763292	83763494	16782	25,27	39,92	52,36	23,27	138	100	1.16274427774e-05	0.003705316061	0.317,0.175	0.621,0.491	-0.31
30805	ENSG00000138802.7	SEC24B	chr4	+	110402832	110402937	110394159	110394342	110412482	110412563	30805	75,104	35,43	77,116	7,17	199	100	3.54136628367e-06	0.00135160773871	0.518,0.549	0.847,0.774	-0.277
23573	ENSG00000138688.11	KIAA1109	chr4	+	123237502	123237703	123236616	123236843	123237886	123238017	23573	9,11	163,245	44,25	99,107	199	100	2.86159984597e-12	3.01866893982e-09	0.027,0.022	0.183,0.105	-0.119
10589	ENSG00000109458.4	GAB1	chr4	+	144378832	144378922	144361231	144361535	144380537	144380582	10589	15,14	41,84	32,48	36,31	189	100	2.85276254952e-07	0.000146306601817	0.162,0.081	0.32,0.45	-0.264
56916	ENSG00000129187.10	DCTD	chr4	-	183837571	183837692	183836613	183836728	183838440	183838630	56916	52,28	19,9	30,56	1,4	199	100	0.000281705188342	0.0391797008345	0.579,0.61	0.938,0.876	-0.313
49524	ENSG00000151725.7	MLF1IP	chr4	-	185620690	185620745	185618800	185618957	185621973	185622035	49524	13,2	33,12	6,18	2,6	154	100	1.69760732334e-05	0.0050198707364	0.204,0.098	0.661,0.661	-0.51
30311	ENSG00000109536.7	FRG1	chr4	+	190881000	190881077	190878552	190878657	190881902	190881994	30311	12,8	177,90	12,24	77,57	176	100	0.000107469849895	0.02137868414	0.037,0.048	0.081,0.193	-0.095
26401	ENSG00000171617.9	ENC1	chr5	-	73933389	73933526	73932298	73932323	73936131	73936553	26401	87,79	61,60	69,165	11,16	199	100	2.68562949657e-13	3.264830258e-10	0.417,0.398	0.759,0.838	-0.391
12823	ENSG00000131504.11	DIAPH1	chr5	-	140967790	140967817	140966608	140966764	140998364	140998566	12823	7,0	74,29	40,24	3,6	126	100	0.0	0.0	0.07,0.0	0.914,0.76	-0.802
802	ENSG00000055147.13	FAM114A2	chr5	-	153390800	153390880	153382406	153382529	153405958	153406082	802	46,28	10,9	34,61	2,0	179	100	0.000236213618627	0.0350825321457	0.72,0.635	0.905,1.0	-0.275
6118	ENSG00000040275.12	SPDL1	chr5	+	169014202	169014376	169010639	169010893	169015397	169015579	6118	6,7	161,40	22,19	157,39	199	100	0.000805997373316	0.0815532956528	0.018,0.081	0.066,0.197	-0.082
21250	ENSG00000180822.7	PSMG4	chr6	+	3264442	3264559	3263917	3263993	3267824	3268015	21250	8,8	25,32	17,10	5,10	199	100	0.000857664993136	0.0847397054725	0.139,0.112	0.631,0.334	-0.357
346	ENSG00000137177.14	KIF13A	chr6	-	17790102	17790141	17788006	17788106	17794479	17794626	346	55,44	141,128	131,148	55,93	138	100	2.22044604925e-16	3.31280457612e-13	0.22,0.199	0.633,0.536	-0.375
1792	ENSG00000064999.12	ANKS1A	chr6	+	34940357	34940420	34937786	34937943	34949466	34949763	1792	1,1	35,55	10,13	37,45	162	100	0.000100513680638	0.0204916803701	0.017,0.011	0.143,0.151	-0.133
851	ENSG00000079819.12	EPB41L2	chr6	-	131201283	131201346	131199243	131199390	131206235	131206408	851	2,4	2,4	54,96	0,6	162	100	1.00705640607e-05	0.00327273390262	0.382,0.382	1.0,0.908	-0.572
37744	ENSG00000112414.10	GPR126	chr6	+	142762044	142762090	142759348	142759501	142764473	142767403	37744	26,52	222,514	192,280	43,102	145	100	0.0	0.0	0.075,0.065	0.755,0.654	-0.635
37877	ENSG00000152818.14	UTRN	chr6	+	145148483	145148522	145142017	145142154	145148746	145148812	37877	114,158	243,286	197,414	17,51	138	100	0.0	0.0	0.254,0.286	0.894,0.855	-0.605
18935	ENSG00000130396.16	MLLT4	chr6	+	168314082	168314103	168311963	168312169	168314847	168314993	18935	24,22	103,327	35,57	103,254	120	100	0.000986544278633	0.091215050303	0.163,0.053	0.221,0.158	-0.082
1579	ENSG00000122591.7	FAM126A	chr7	-	22986570	22986866	22980887	22985782	22999874	23000034	1579	1,7	26,57	51,59	16,18	199	100	0.0	0.0	0.019,0.058	0.616,0.622	-0.581
46557	ENSG00000070882.8	OSBPL3	chr7	-	24876114	24876225	24874104	24874355	24880308	24880402	46557	0,0	35,31	8,2	14,12	199	100	8.70994354522e-05	0.0185156222497	0.0,0.0	0.223,0.077	-0.15
43007	ENSG00000010270.9	STARD3NL	chr7	+	38241314	38241567	38217991	38218022	38247047	38247330	43007	0,3	66,105	7,4	35,45	199	100	0.000939856215343	0.0879165217326	0.0,0.014	0.091,0.043	-0.06
44259	ENSG00000146833.11	TRIM4	chr7	-	99514324	99514402	99507187	99507283	99516631	99517154	44259	2,0	147,100	2,26	100,121	177	100	6.50127045976e-06	0.00231900085707	0.008,0.0	0.011,0.108	-0.055
51988	ENSG00000170632.9	ARMC10	chr7	+	102727315	102727384	102727076	102727211	102737723	102737795	51988	10,19	14,19	34,21	8,8	168	100	0.00103449582195	0.0927739244914	0.298,0.373	0.717,0.61	-0.328
