ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1915	ENSG00000088888.13	MAVS	chr20	+	3838281	3838456	3841978	3842151	3835204	3835388	3842900	3843060	1915	57,147	73,154	60,118	34,35	199	199	1.82725304827e-05	0.00172883055453	0.438,0.488	0.638,0.771	-0.242
2450	ENSG00000088766.7	CRLS1	chr20	+	5996006	5996136	6011930	6012016	5990424	5990558	6012657	6012726	2450	79,72	59,38	73,91	14,23	199	185	3.70720212279e-05	0.00302609459552	0.555,0.638	0.829,0.786	-0.211
4313	ENSG00000101040.15	ZMYND8	chr20	-	45867639	45867882	45874751	45875261	45865069	45865260	45878030	45878183	4313	241,292	107,95	260,378	54,60	199	199	5.93421521955e-06	0.000747081813682	0.693,0.755	0.828,0.863	-0.121
4272	ENSG00000249624.4	AP000295.9	chr21	+	34640698	34640822	34648900	34649058	34624966	34625135	34652056	34652223	4272	0,1	61,77	4,6	44,39	199	199	0.00176680843798	0.0526677259906	0.0,0.013	0.083,0.133	-0.102
4268	ENSG00000068745.10	IP6K2	chr3	-	48748799	48748892	48752747	48752960	48732522	48732851	48754589	48754621	4268	53,55	19,13	76,34	2,0	199	192	3.18272763355e-06	0.000509603659172	0.729,0.803	0.973,1.0	-0.22
664	ENSG00000164062.8	APEH	chr3	+	49713545	49713652	49713810	49713948	49713323	49713399	49714041	49714133	664	1,2	101,29	12,3	60,10	199	199	0.000248844660081	0.0138125375989	0.01,0.065	0.167,0.231	-0.162
612	ENSG00000114120.7	SLC25A36	chr3	+	140685189	140685276	140685775	140685878	140681968	140682069	140689768	140689835	612	10,15	33,34	28,23	26,17	186	199	0.000522575655548	0.0217548245405	0.245,0.321	0.535,0.591	-0.28
837	ENSG00000075420.8	FNDC3B	chr3	+	171851260	171851336	171944660	171944737	171830241	171830380	171965322	171965566	837	117,211	342,925	119,207	226,425	175	176	1.26144116958e-05	0.0014192917808	0.256,0.187	0.346,0.329	-0.116
1839	ENSG00000068078.13	FGFR3	chr4	+	1804640	1804791	1805418	1805563	1803561	1803752	1806056	1806247	1839	195,112	322,171	136,46	89,31	199	199	3.85042305262e-07	0.000103729479909	0.377,0.396	0.604,0.597	-0.214
2244	ENSG00000002549.8	LAP3	chr4	+	17598668	17598757	17600078	17600181	17597032	17597157	17606210	17606290	2244	107,160	161,198	101,93	80,64	188	199	0.00040696821367	0.0184534895984	0.413,0.461	0.572,0.606	-0.152
2247	ENSG00000109686.12	SH3D19	chr4	-	152069073	152069338	152070651	152070713	152065371	152065440	152080391	152080504	2247	155,209	55,69	116,140	13,21	161	199	4.44706122873e-05	0.00349304073494	0.777,0.789	0.917,0.892	-0.122
3918	ENSG00000154556.13	SORBS2	chr4	-	186605907	186606000	186611715	186611765	186599949	186599976	186696380	186696520	3918	6,21	23,34	33,71	13,21	149	192	6.58003737608e-07	0.000130441407603	0.252,0.443	0.766,0.813	-0.442
1984	ENSG00000112851.10	ERBB2IP	chr5	+	65370851	65371058	65372143	65372236	65349233	65350779	65372702	65372777	1984	105,243	76,97	152,345	38,88	199	192	0.000860667053013	0.0303640418788	0.571,0.707	0.794,0.791	-0.153
4009	ENSG00000204305.9	AGER	chr6	-	32149127	32149254	32149300	32149409	32148898	32149016	32150023	32150165	4009	6,3	53,18	16,2	13,4	199	199	0.000339368863029	0.0169175924901	0.102,0.143	0.552,0.333	-0.32
2840	ENSG00000204227.4	RING1	chr6	+	33177402	33177563	33177691	33177907	33176541	33176677	33178934	33179324	2840	309,321	18,58	353,354	10,6	199	199	2.38165901445e-08	9.01349679741e-06	0.945,0.847	0.972,0.983	-0.082
1766	ENSG00000122566.16	HNRNPA2B1	chr7	-	26236020	26236101	26236176	26236278	26235466	26235529	26236426	26236637	1766	9031,6772	3465,1933	7620,10835	1768,1631	199	180	2.75163510866e-08	9.54588079779e-06	0.702,0.76	0.796,0.857	-0.096
3378	ENSG00000078674.13	PCM1	chr8	+	17838099	17838264	17840741	17840798	17830091	17830196	17842955	17843128	3378	271,217	36,26	223,217	2,12	199	156	5.56201831048e-06	0.000747081813682	0.855,0.867	0.989,0.934	-0.101
5290	ENSG00000164808.12	SPIDR	chr8	+	48206455	48206619	48320422	48320523	48203621	48203726	48352884	48353104	5290	120,161	19,16	122,237	13,3	199	199	0.00264164316284	0.0687322530431	0.863,0.91	0.904,0.988	-0.059
2729	ENSG00000169398.15	PTK2	chr8	-	141745349	141745554	141749116	141749206	141727696	141727808	141753328	141753429	2729	185,149	130,78	154,134	66,23	189	199	0.00177119424422	0.0526677259906	0.6,0.668	0.711,0.86	-0.151
4121	ENSG00000130985.12	UBA1	chrX	+	47057508	47057754	47057925	47058027	47053235	47053423	47058201	47058318	4121	15,4	8,9	1,2	0,0	199	199	0.00367972707556	0.0837087640194	0.652,0.308	1.0,1.0	-0.52
2067	ENSG00000125351.6	UPF3B	chrX	-	118975697	118975741	118977153	118977264	118975038	118975221	118979160	118979217	2067	52,49	328,161	87,89	140,189	199	143	4.00746221874e-07	0.000103729479909	0.102,0.179	0.309,0.253	-0.141
2277	ENSG00000171100.10	MTM1	chrX	+	149767055	149767150	149783061	149783172	149764961	149765034	149787510	149787612	2277	3,12	75,43	21,23	55,51	194	199	0.00375813451261	0.084113516	0.039,0.223	0.281,0.316	-0.167
1146	ENSG00000067048.12	DDX3Y	chrY	+	15021270	15021318	15023750	15023880	15019447	15019505	15024638	15024794	1146	130,129	520,589	133,143	363,389	147	199	0.00137376744854	0.0443332859556	0.253,0.229	0.332,0.332	-0.091
